pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,-1,-1,159,0.5021153420633228,0.39884034703356114,1.0,54.758400413147676,55.33265393781873,3042,zero,0.3559391644818716,0,0.003108960203593151,0.1265995317009906,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,0,-1,160,0.6108825630261067,0.4439072498642804,1.0,54.718934559762275,55.771637614648554,3120,zero,0.4157695706127158,0,0.00784178258240816,0.15061650839301582,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,1,-1,161,0.5289196646056346,0.44435105518934753,1.0,52.59084066459765,55.58910081654819,3042,zero,0.3722632822098072,0,0.004186543282052765,0.1330134019067668,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,-1,0,159,0.6101961244363486,0.46500655736795216,1.0,52.7443766996686,55.30971194376465,3081,zero,0.41879907798851823,0,0.009022302685617283,0.1524441740416326,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,0,0,160,1.0000000000000002,1.0,1.0,52.724147446939085,55.226048337443395,3160,zero,0.6504806647312285,0,0.10755102055653143,0.2975763960176754,True
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,1,0,161,0.6101961244363486,0.46500655736795216,1.0,49.303384908955806,54.88259943840254,3081,zero,0.4190567579336991,0,0.011751012877213888,0.1543080236469837,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,-1,1,159,0.5289196646056346,0.44435105518934753,1.0,51.14032863496011,55.256422696989226,3042,zero,0.3723604398518936,0,0.004717071457641845,0.13339225039562994,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,0,1,160,0.6108825630261067,0.4439072498642804,1.0,49.64032021953331,55.167629551047405,3120,zero,0.41610171433269716,0,0.011565978906480503,0.1531534863056563,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,1,1,161,0.5021153420633228,0.39884034703356114,1.0,49.49047354350431,55.0827996726796,3042,zero,0.35628651396363076,0,0.004579413921977813,0.12767689893655634,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,-1,-1,62,-1,0.5452273007277195,0.4468917353192456,1.0,49.64781147063059,54.78977632209509,2985,zero,0.3785693838699672,0,0.006018025701993836,0.13641100106078452,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,-1,0,62,0,0.6740919008385019,0.5249707285556511,1.0,46.80025320746441,54.75311400796672,3000,zero,0.45068570737963565,0,0.02116411243170671,0.17149667066348181,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,-1,1,62,1,0.6229254262010996,0.4913766110860983,1.0,51.58947826645475,54.781975738890836,2985,zero,0.41228430162621255,0,0.008818542690883484,0.15003155831824863,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,0,-1,63,-1,0.6417095314756637,0.46380533351105613,1.0,52.685311965958455,54.92135915971835,3184,zero,0.4296521398028602,0,0.011565320989331948,0.15789570757406685,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,0,0,63,0,0.7717602087985758,0.5431446460182084,1.0,52.988300697060126,55.75819531567177,3200,zero,0.5020528227351716,0,0.031181132009931646,0.19598622376376562,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,0,1,63,1,0.6838282179721107,0.5101140845284872,1.0,49.83589066707028,54.89275639715735,3184,zero,0.4515466512988815,0,0.018399461470966383,0.17000097791073665,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,1,-1,64,-1,0.7270449055597961,0.545862479361021,1.0,52.84163248421849,54.84763908563763,2985,zero,0.45681874629621033,0,0.01615908900088354,0.17038996905424791,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,1,0,64,0,0.9999999999999998,1.0,1.0,54.2483856508552,54.82630788628729,3000,zero,0.6353972795651172,0,0.08263512188494394,0.27610187707300454,True
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,1,1,64,1,0.7270449055597961,0.545862479361021,1.0,52.8962710197265,54.88812778987596,2985,zero,0.4568155223246617,0,0.01606610454920031,0.17032840077061182,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,2,-1,65,-1,0.6862722663793724,0.5049088499209358,1.0,49.52015548000688,54.76629316291809,2786,iq_phase_corr,0.42164904614126825,0,0.013002410926547197,0.15602873325169955,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,2,0,65,0,0.7785550458762437,0.5420377867595908,1.0,53.298520829431084,54.757988934521066,2800,iq_phase_corr,0.4742472984056444,0,0.02267941696349846,0.1807281754682495,False
