pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected,accepted,self_supervised_split
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,0,0,160,1.0000000000000002,1.0,1.0,53.20990825466302,55.53611853801313,3160,zero,0.6504523471434916,0,0.010564467340994543,0.2345252252718685,True,False,validation
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,1,0,64,0,0.9999999999999998,1.0,1.0,53.068894384832106,54.86807947996544,3000,zero,0.6354603912333832,0,0.006937175382067947,0.22692030093002827,True,False,train
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,0,0,0,160,0.9999999999999999,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,1,0,64,0,1.0000000000000002,1.0,1.0,0.0,1.2074182697257333e-06,3000,zero,0.985,1,0.999999999776555,0.9947499998547608,True,True,train
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,0,0,0,160,1.0,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,validation
vertical_r0_c2__r1_c2,vertical,tile_r0_c2_clean.ang,tile_r1_c2_clean.ang,1,0,64,0,1.0000000000000002,0.9999999999999998,1.0,0.0,1.2074182697257333e-06,3000,zero,0.985,1,0.999999999776555,0.9947499998547608,True,True,validation
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,0,0,0,160,0.9999999999999999,0.9999999999999999,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
vertical_r0_c3__r1_c3,vertical,tile_r0_c3_clean.ang,tile_r1_c3_clean.ang,1,0,64,0,0.9999999999999999,1.0,1.0,0.0,1.2074182697257333e-06,3000,zero,0.9849999999999999,1,0.999999999776555,0.9947499998547606,True,True,train
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,0,0,0,160,1.0,0.9999999999999999,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
vertical_r0_c4__r1_c4,vertical,tile_r0_c4_clean.ang,tile_r1_c4_clean.ang,1,0,64,0,1.0000000000000002,1.0,1.0,0.0,1.2074182697257333e-06,3000,zero,0.985,1,0.999999999776555,0.9947499998547608,True,True,validation
vertical_r0_c5__r1_c5,vertical,tile_r0_c5_clean.ang,tile_r1_c5_clean.ang,1,0,64,0,1.0000000000000002,0.9999999999999999,0.9954692556634305,0.0,1.2074182697257333e-06,1538,zero,0.9843203883495145,1,0.9999999999036824,0.9945121358597235,True,True,validation
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,0,0,0,160,1.0000000000000002,1.0000000000000002,1.0,0.0,1.2074182697257333e-06,3160,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
vertical_r1_c0__r2_c0,vertical,tile_r1_c0_clean.ang,tile_r2_c0_clean.ang,0,0,63,0,0.9999999999999999,1.0,1.0,0.0,1.2074182697257333e-06,3200,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
horizontal_r1_c1__r1_c2,horizontal,tile_r1_c1_clean.ang,tile_r1_c2_clean.ang,0,0,0,160,0.9999999999999998,0.9999999999999998,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
vertical_r1_c1__r2_c1,vertical,tile_r1_c1_clean.ang,tile_r2_c1_clean.ang,0,0,63,0,1.0,1.0,1.0,0.0,1.2074182697257333e-06,3200,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
horizontal_r1_c2__r1_c3,horizontal,tile_r1_c2_clean.ang,tile_r1_c3_clean.ang,0,0,0,160,1.0000000000000002,1.0000000000000002,1.0,0.0,1.2074182697257333e-06,3160,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
vertical_r1_c2__r2_c2,vertical,tile_r1_c2_clean.ang,tile_r2_c2_clean.ang,0,0,63,0,0.9999999999999999,1.0000000000000002,1.0,0.0,1.2074182697257333e-06,3200,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
horizontal_r1_c3__r1_c4,horizontal,tile_r1_c3_clean.ang,tile_r1_c4_clean.ang,0,0,0,160,1.0000000000000002,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
vertical_r1_c3__r2_c3,vertical,tile_r1_c3_clean.ang,tile_r2_c3_clean.ang,0,0,63,0,1.0,1.0000000000000002,1.0,0.0,1.2074182697257333e-06,3200,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,validation
horizontal_r1_c4__r1_c5,horizontal,tile_r1_c4_clean.ang,tile_r1_c5_clean.ang,0,0,0,160,1.0,0.9999999999999998,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,validation
vertical_r1_c4__r2_c4,vertical,tile_r1_c4_clean.ang,tile_r2_c4_clean.ang,0,0,63,0,1.0,1.0,1.0,0.0,0.0,3200,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
vertical_r1_c5__r2_c5,vertical,tile_r1_c5_clean.ang,tile_r2_c5_clean.ang,0,0,63,0,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1632,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
horizontal_r2_c0__r2_c1,horizontal,tile_r2_c0_clean.ang,tile_r2_c1_clean.ang,0,0,0,160,0.9999999999999998,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
vertical_r2_c0__r3_c0,vertical,tile_r2_c0_clean.ang,tile_r3_c0_clean.ang,0,0,63,0,1.0000000000000002,1.0,1.0,0.0,1.2074182697257333e-06,3200,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,validation
horizontal_r2_c1__r2_c2,horizontal,tile_r2_c1_clean.ang,tile_r2_c2_clean.ang,0,0,0,160,1.0,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,train
