pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,1,0,320,1.0000000000000002,1.0,0.5,53.84483812761255,55.4542814337929,3160,zero,0.5604178337672884,0,0.5604178337672884,0.5604178337672884,True
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,2,0,64,0,0.9999999999999998,1.0,0.5,49.7027530591683,54.80932091841356,3000,iq_phase_corr,0.5457012358659105,0,0.5457012358659105,0.5457012358659105,True
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,0,1,0,320,0.9999999999999999,1.0,0.5,0.0,1.2074182697257505e-07,3160,zero,0.9099999999999998,0,0.9099999999999998,0.9099999999999998,True
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,2,0,64,0,1.0000000000000002,1.0,0.5,0.0,1.2074182697257333e-06,3000,iq_phase_corr,0.8949999999999999,0,0.8949999999999999,0.8949999999999999,True
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,0,1,0,320,1.0,1.0,0.5,0.0,0.0,3160,zero,0.9099999999999999,0,0.9099999999999999,0.9099999999999999,True
horizontal_r0_c3__r0_c4,horizontal,tile_r0_c3_clean.ang,tile_r0_c4_clean.ang,0,1,0,320,0.9999999999999999,0.9999999999999999,0.5,0.0,1.2074182697257505e-07,3160,zero,0.9099999999999998,0,0.9099999999999998,0.9099999999999998,True
horizontal_r0_c4__r0_c5,horizontal,tile_r0_c4_clean.ang,tile_r0_c5_clean.ang,0,1,0,320,1.0,0.9999999999999999,0.5,0.0,1.2074182697257333e-06,3160,zero,0.9099999999999998,0,0.9099999999999998,0.9099999999999998,True
horizontal_r1_c0__r1_c1,horizontal,tile_r1_c0_clean.ang,tile_r1_c1_clean.ang,0,1,0,320,1.0000000000000002,1.0000000000000002,0.5,0.0,1.2074182697257333e-06,3160,zero,0.9099999999999999,0,0.9099999999999999,0.9099999999999999,True
