pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,0,-1,319,0.6035775753457805,0.4393529394133538,0.5,53.96966285192481,55.35640610205388,3159,zero,0.33756645715086603,0,0.33756645715086603,0.33756645715086603,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,-1,2,-1,321,0.6176214077422649,0.4520764713295544,0.5,54.69299404563266,55.785078581584735,3081,iq_phase_corr,0.3143547660739513,0,0.3143547660739513,0.3143547660739513,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,-1,0,318,0.6091005508519446,0.470223158566325,0.5,49.74482090977445,55.13715377702387,3160,zero,0.34441622469151834,0,0.34441622469151834,0.34441622469151834,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,0,1,0,320,1.0000000000000002,1.0,0.5,53.84483812761255,55.4542814337929,3160,zero,0.5604178337672884,0,0.5604178337672884,0.5604178337672884,True
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,0,1,319,0.618000748817872,0.4570553535590562,0.5,51.217897091528,55.18801863873836,3159,zero,0.34543881062427867,0,0.34543881062427867,0.34543881062427867,False
horizontal_r0_c0__r0_c1,horizontal,tile_r0_c0_clean.ang,tile_r0_c1_clean.ang,1,2,1,321,0.599123159066793,0.4344903947078091,0.5,49.65947302546648,55.402290973307935,3081,iq_phase_corr,0.3055717047149157,0,0.3055717047149157,0.3055717047149157,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,-1,-1,61,-1,0.5116884310263236,0.42481943782211573,0.5,49.75834037606266,54.66417983560619,3192,zero,0.2885102468097617,0,0.2885102468097617,0.2885102468097617,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,-1,1,61,1,0.5684555137314794,0.46922322294498464,0.5,52.415151572912265,54.78428107155935,3192,zero,0.3148425066074263,0,0.3148425066074263,0.3148425066074263,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,0,0,62,0,0.6686006171204103,0.5240324386860152,0.5,48.16602428803289,54.960488406794305,3400,zero,0.38846482602431576,0,0.38846482602431576,0.38846482602431576,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,1,-1,63,-1,0.746240746229792,0.5226301129494453,0.5,49.65805317440502,54.77501273341102,3192,zero,0.38528394310076053,0,0.38528394310076053,0.38528394310076053,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,1,1,63,1,0.7765447299698188,0.5554535905121234,0.5,45.55840528668191,54.76168121200748,3192,zero,0.4012858867161604,0,0.4012858867161604,0.4012858867161604,False
